data_width,data_height,rounds,noise,circuit_style,preserved_observable,code_distance,num_qubits,num_shots,num_correct,total_processing_seconds,decoder,version
4,9,12,0.0001,bounded_honeycomb_memory_EM3_v1,-,4,100,230400,230120,0.035426635993644595,detection_fraction,2
8,18,24,0.0001,bounded_honeycomb_memory_EM3_v1,-,8,380,1811456,1808610,0.10946362500544637,detection_fraction,2
12,24,36,0.0001,bounded_honeycomb_memory_EM3_v1,-,12,748,5391360,5382518,0.24504524003714323,detection_fraction,2
16,33,48,0.0001,bounded_honeycomb_memory_EM3_v1,-,16,1358,13136896,13114975,0.44134153897175565,detection_fraction,2
20,42,60,0.0001,bounded_honeycomb_memory_EM3_v1,-,20,2148,26067968,26023206,0.6650596820400096,detection_fraction,2
4,9,12,0.0002,bounded_honeycomb_memory_EM3_v1,-,4,100,230400,229793,0.0343834439991042,detection_fraction,2
8,18,24,0.0002,bounded_honeycomb_memory_EM3_v1,-,8,380,1811456,1805618,0.10721861699130386,detection_fraction,2
12,24,36,0.0002,bounded_honeycomb_memory_EM3_v1,-,12,748,5391360,5374143,0.2140188820194453,detection_fraction,2
16,33,48,0.0002,bounded_honeycomb_memory_EM3_v1,-,16,1358,13136896,13093092,0.3970349280280061,detection_fraction,2
20,42,60,0.0002,bounded_honeycomb_memory_EM3_v1,-,20,2148,26067968,25980269,0.6382540430058725,detection_fraction,2
4,9,12,0.0003,bounded_honeycomb_memory_EM3_v1,-,4,100,230400,229543,0.046047059004195035,detection_fraction,2
8,18,24,0.0003,bounded_honeycomb_memory_EM3_v1,-,8,380,1811456,1803271,0.11791728303069249,detection_fraction,2
12,24,36,0.0003,bounded_honeycomb_memory_EM3_v1,-,12,748,5391360,5365448,0.2479928369866684,detection_fraction,2
16,33,48,0.0003,bounded_honeycomb_memory_EM3_v1,-,16,1358,13136896,13072142,0.44920367799932137,detection_fraction,2
20,42,60,0.0003,bounded_honeycomb_memory_EM3_v1,-,20,2148,26067968,25935696,0.754176115966402,detection_fraction,2
4,9,12,0.0005,bounded_honeycomb_memory_EM3_v1,-,4,100,230400,228962,0.0381195800146088,detection_fraction,2
8,18,24,0.0005,bounded_honeycomb_memory_EM3_v1,-,8,380,1811456,1798091,0.11942351702600718,detection_fraction,2
12,24,36,0.0005,bounded_honeycomb_memory_EM3_v1,-,12,748,5391360,5347773,0.2671956460108049,detection_fraction,2
