data_width,data_height,rounds,noise,circuit_style,preserved_observable,code_distance,num_qubits,num_shots,num_correct,total_processing_seconds,decoder,version
12,24,36,0.0001,bounded_honeycomb_memory_EM3_v2,-,6,288,903168,902047,0.1564265909983078,detection_fraction_0,2
12,24,36,0.0001,bounded_honeycomb_memory_EM3_v2,-,6,288,1032192,1031632,0.1564265909983078,detection_fraction_1,2
12,24,36,0.0001,bounded_honeycomb_memory_EM3_v2,-,6,288,783360,782642,0.1564265909983078,detection_fraction_2,2
12,24,36,0.0001,bounded_honeycomb_memory_EM3_v2,-,6,288,774144,773075,0.1564265909983078,detection_fraction_3,2
12,24,36,0.0001,bounded_honeycomb_memory_EM3_v2,-,6,288,995328,994834,0.1564265909983078,detection_fraction_4,2
12,24,36,0.0001,bounded_honeycomb_memory_EM3_v2,-,6,288,903168,902353,0.1564265909983078,detection_fraction_5,2
12,24,36,0.0002,bounded_honeycomb_memory_EM3_v2,-,6,288,903168,900939,0.15580755200062413,detection_fraction_0,2
12,24,36,0.0002,bounded_honeycomb_memory_EM3_v2,-,6,288,1032192,1031141,0.15580755200062413,detection_fraction_1,2
12,24,36,0.0002,bounded_honeycomb_memory_EM3_v2,-,6,288,783360,781936,0.15580755200062413,detection_fraction_2,2
12,24,36,0.0002,bounded_honeycomb_memory_EM3_v2,-,6,288,774144,771996,0.15580755200062413,detection_fraction_3,2
12,24,36,0.0002,bounded_honeycomb_memory_EM3_v2,-,6,288,995328,994363,0.15580755200062413,detection_fraction_4,2
12,24,36,0.0002,bounded_honeycomb_memory_EM3_v2,-,6,288,903168,901603,0.15580755200062413,detection_fraction_5,2
12,24,36,0.0003,bounded_honeycomb_memory_EM3_v2,-,6,288,903168,899851,0.1599484920006944,detection_fraction_0,2
12,24,36,0.0003,bounded_honeycomb_memory_EM3_v2,-,6,288,1032192,1030573,0.1599484920006944,detection_fraction_1,2
12,24,36,0.0003,bounded_honeycomb_memory_EM3_v2,-,6,288,783360,781220,0.1599484920006944,detection_fraction_2,2
12,24,36,0.0003,bounded_honeycomb_memory_EM3_v2,-,6,288,774144,771015,0.1599484920006944,detection_fraction_3,2
12,24,36,0.0003,bounded_honeycomb_memory_EM3_v2,-,6,288,995328,993819,0.1599484920006944,detection_fraction_4,2
12,24,36,0.0003,bounded_honeycomb_memory_EM3_v2,-,6,288,903168,900748,0.1599484920006944,detection_fraction_5,2
12,24,36,0.0005,bounded_honeycomb_memory_EM3_v2,-,6,288,903168,897575,0.15920546000415925,detection_fraction_0,2
12,24,36,0.0005,bounded_honeycomb_memory_EM3_v2,-,6,288,1032192,1029506,0.15920546000415925,detection_fraction_1,2
12,24,36,0.0005,bounded_honeycomb_memory_EM3_v2,-,6,288,783360,779835,0.15920546000415925,detection_fraction_2,2
12,24,36,0.0005,bounded_honeycomb_memory_EM3_v2,-,6,288,774144,768833,0.15920546000415925,detection_fraction_3,2
12,24,36,0.0005,bounded_honeycomb_memory_EM3_v2,-,6,288,995328,992778,0.15920546000415925,detection_fraction_4,2
12,24,36,0.0005,bounded_honeycomb_memory_EM3_v2,-,6,288,903168,899030,0.15920546000415925,detection_fraction_5,2
12,24,36,0.0007,bounded_honeycomb_memory_EM3_v2,-,6,288,903168,895480,0.16594602400436997,detection_fraction_0,2
12,24,36,0.0007,bounded_honeycomb_memory_EM3_v2,-,6,288,1032192,1028278,0.16594602400436997,detection_fraction_1,2
12,24,36,0.0007,bounded_honeycomb_memory_EM3_v2,-,6,288,783360,778459,0.16594602400436997,detection_fraction_2,2
12,24,36,0.0007,bounded_honeycomb_memory_EM3_v2,-,6,288,774144,766622,0.16594602400436997,detection_fraction_3,2
12,24,36,0.0007,bounded_honeycomb_memory_EM3_v2,-,6,288,995328,991882,0.16594602400436997,detection_fraction_4,2
12,24,36,0.0007,bounded_honeycomb_memory_EM3_v2,-,6,288,903168,897449,0.16594602400436997,detection_fraction_5,2
12,24,36,0.001,bounded_honeycomb_memory_EM3_v2,-,6,288,903168,892008,0.1601587430050131,detection_fraction_0,2
12,24,36,0.001,bounded_honeycomb_memory_EM3_v2,-,6,288,1032192,1026678,0.1601587430050131,detection_fraction_1,2
12,24,36,0.001,bounded_honeycomb_memory_EM3_v2,-,6,288,783360,776240,0.1601587430050131,detection_fraction_2,2
12,24,36,0.001,bounded_honeycomb_memory_EM3_v2,-,6,288,774144,763432,0.1601587430050131,detection_fraction_3,2
12,24,36,0.001,bounded_honeycomb_memory_EM3_v2,-,6,288,995328,990184,0.1601587430050131,detection_fraction_4,2
12,24,36,0.001,bounded_honeycomb_memory_EM3_v2,-,6,288,903168,895043,0.1601587430050131,detection_fraction_5,2
12,24,36,0.0015,bounded_honeycomb_memory_EM3_v2,-,6,288,903168,886606,0.158017909998307,detection_fraction_0,2
12,24,36,0.0015,bounded_honeycomb_memory_EM3_v2,-,6,288,1032192,1023999,0.158017909998307,detection_fraction_1,2
