data_width,data_height,rounds,noise,circuit_style,preserved_observable,code_distance,num_qubits,num_shots,num_correct,total_processing_seconds,decoder,version
6,9,10,0.0001,bounded_honeycomb_memory_EM3_v3,H,3,54,100000000,99999080,17060.078410159098,internal,2
6,9,10,0.0001,bounded_honeycomb_memory_EM3_v3,H,3,54,100000000,99999498,16739.28406864917,internal_correlated,2
10,15,16,0.0001,bounded_honeycomb_memory_EM3_v3,H,5,150,100000000,99999999,17985.399358151713,internal,2
10,15,16,0.0001,bounded_honeycomb_memory_EM3_v3,H,5,150,100000000,100000000,17840.951653992757,internal_correlated,2
14,21,22,0.0001,bounded_honeycomb_memory_EM3_v3,H,7,294,100000000,100000000,20056.658930692123,internal,2
14,21,22,0.0001,bounded_honeycomb_memory_EM3_v3,H,7,294,100000000,100000000,19662.960261267843,internal_correlated,2
18,27,28,0.0001,bounded_honeycomb_memory_EM3_v3,H,9,486,100000000,100000000,21642.273236685898,internal,2
18,27,28,0.0001,bounded_honeycomb_memory_EM3_v3,H,9,486,100000000,100000000,22272.715306848288,internal_correlated,2
22,33,34,0.0001,bounded_honeycomb_memory_EM3_v3,H,11,726,100000000,100000000,25634.56298449007,internal,2
22,33,34,0.0001,bounded_honeycomb_memory_EM3_v3,H,11,726,100000000,100000000,26957.685593233444,internal_correlated,2
6,9,10,0.0002,bounded_honeycomb_memory_EM3_v3,H,3,54,25002300,25001299,4914.2745484125335,internal,2
6,9,10,0.0002,bounded_honeycomb_memory_EM3_v3,H,3,54,51602300,51601300,9291.020230538212,internal_correlated,2
10,15,16,0.0002,bounded_honeycomb_memory_EM3_v3,H,5,150,100000000,99999986,19887.631170807406,internal,2
10,15,16,0.0002,bounded_honeycomb_memory_EM3_v3,H,5,150,100000000,99999998,19980.413188115694,internal_correlated,2
14,21,22,0.0002,bounded_honeycomb_memory_EM3_v3,H,7,294,100000000,100000000,21554.699152471032,internal,2
14,21,22,0.0002,bounded_honeycomb_memory_EM3_v3,H,7,294,100000000,100000000,22093.60736297164,internal_correlated,2
18,27,28,0.0002,bounded_honeycomb_memory_EM3_v3,H,9,486,100000000,100000000,23727.774072874803,internal,2
18,27,28,0.0002,bounded_honeycomb_memory_EM3_v3,H,9,486,100000000,100000000,24673.603885319782,internal_correlated,2
22,33,34,0.0002,bounded_honeycomb_memory_EM3_v3,H,11,726,100000000,100000000,28071.234798840946,internal,2
22,33,34,0.0002,bounded_honeycomb_memory_EM3_v3,H,11,726,100000000,100000000,29556.952197717736,internal_correlated,2
6,9,10,0.0003,bounded_honeycomb_memory_EM3_v3,H,3,54,12302300,12301299,4348.922086742474,internal,2
6,9,10,0.0003,bounded_honeycomb_memory_EM3_v3,H,3,54,22402300,22401297,6002.224095483543,internal_correlated,2
10,15,16,0.0003,bounded_honeycomb_memory_EM3_v3,H,5,150,100000000,99999960,21525.711036468158,internal,2
10,15,16,0.0003,bounded_honeycomb_memory_EM3_v3,H,5,150,100000000,99999992,22010.56252514338,internal_correlated,2
14,21,22,0.0003,bounded_honeycomb_memory_EM3_v3,H,7,294,100000000,100000000,22258.194001084892,internal,2
14,21,22,0.0003,bounded_honeycomb_memory_EM3_v3,H,7,294,100000000,100000000,22972.276774859754,internal_correlated,2
18,27,28,0.0003,bounded_honeycomb_memory_EM3_v3,H,9,486,100000000,100000000,25122.510009099264,internal,2
18,27,28,0.0003,bounded_honeycomb_memory_EM3_v3,H,9,486,100000000,100000000,26434.97576387599,internal_correlated,2
22,33,34,0.0003,bounded_honeycomb_memory_EM3_v3,H,11,726,100000000,100000000,31560.6540320802,internal,2
