data_width,data_height,rounds,noise,circuit_style,preserved_observable,code_distance,num_qubits,num_shots,num_correct,total_processing_seconds,decoder,version
6,9,10,0.0001,bounded_honeycomb_memory_EM3_v2,H,3,54,89638300,89637297,27043.78720893868,internal,2
6,9,10,0.0001,bounded_honeycomb_memory_EM3_v2,H,3,54,100000000,99999380,29440.18683809624,internal_correlated,2
10,15,16,0.0001,bounded_honeycomb_memory_EM3_v2,H,5,150,100000000,99999999,31145.332807237894,internal,2
10,15,16,0.0001,bounded_honeycomb_memory_EM3_v2,H,5,150,100000000,100000000,32279.298606028082,internal_correlated,2
14,21,22,0.0001,bounded_honeycomb_memory_EM3_v2,H,7,294,100000000,100000000,32592.43469447203,internal,2
14,21,22,0.0001,bounded_honeycomb_memory_EM3_v2,H,7,294,100000000,100000000,33834.46125385887,internal_correlated,2
18,27,28,0.0001,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,100000000,35267.131212149936,internal,2
18,27,28,0.0001,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,100000000,35465.738523439984,internal_correlated,2
22,33,34,0.0001,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,100000000,36497.11550956666,internal,2
22,33,34,0.0001,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,100000000,36919.56904706999,internal_correlated,2
6,9,10,0.0002,bounded_honeycomb_memory_EM3_v2,H,3,54,23502300,23501298,505.24193724819634,internal,2
6,9,10,0.0002,bounded_honeycomb_memory_EM3_v2,H,3,54,40802300,40801298,639.0586227219173,internal_correlated,2
10,15,16,0.0002,bounded_honeycomb_memory_EM3_v2,H,5,150,100000000,99999988,2225.230475032702,internal,2
10,15,16,0.0002,bounded_honeycomb_memory_EM3_v2,H,5,150,100000000,99999996,3029.613514418481,internal_correlated,2
14,21,22,0.0002,bounded_honeycomb_memory_EM3_v2,H,7,294,100000000,100000000,5076.912995458755,internal,2
14,21,22,0.0002,bounded_honeycomb_memory_EM3_v2,H,7,294,100000000,100000000,6283.582691552219,internal_correlated,2
18,27,28,0.0002,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,100000000,10614.051685982646,internal,2
18,27,28,0.0002,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,100000000,9660.292120354847,internal_correlated,2
22,33,34,0.0002,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,100000000,16857.61444820391,internal,2
22,33,34,0.0002,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,100000000,19318.32149707942,internal_correlated,2
6,9,10,0.0003,bounded_honeycomb_memory_EM3_v2,H,3,54,10638300,10637230,11457.739539780683,internal,2
6,9,10,0.0003,bounded_honeycomb_memory_EM3_v2,H,3,54,18638300,18637255,13996.005875132105,internal_correlated,2
10,15,16,0.0003,bounded_honeycomb_memory_EM3_v2,H,5,150,100000000,99999943,60317.931642825744,internal,2
10,15,16,0.0003,bounded_honeycomb_memory_EM3_v2,H,5,150,100000000,99999983,59529.180209920145,internal_correlated,2
14,21,22,0.0003,bounded_honeycomb_memory_EM3_v2,H,7,294,100000000,100000000,55035.20505778263,internal,2
14,21,22,0.0003,bounded_honeycomb_memory_EM3_v2,H,7,294,100000000,100000000,55379.374109287135,internal_correlated,2
18,27,28,0.0003,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,100000000,57337.90480936674,internal,2
18,27,28,0.0003,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,100000000,52487.25123215516,internal_correlated,2
22,33,34,0.0003,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,100000000,54185.117008902074,internal,2
22,33,34,0.0003,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,100000000,52120.77169050908,internal_correlated,2
6,9,10,0.0005,bounded_honeycomb_memory_EM3_v2,H,3,54,3638300,3637235,14893.957264774814,internal,2
6,9,10,0.0005,bounded_honeycomb_memory_EM3_v2,H,3,54,6638300,6637251,16185.013739251066,internal_correlated,2
10,15,16,0.0005,bounded_honeycomb_memory_EM3_v2,H,5,150,100000000,99999738,86331.27175168945,internal,2
10,15,16,0.0005,bounded_honeycomb_memory_EM3_v2,H,5,150,100000000,99999941,87371.73140068978,internal_correlated,2
14,21,22,0.0005,bounded_honeycomb_memory_EM3_v2,H,7,294,100000000,99999999,89354.70333473517,internal,2
14,21,22,0.0005,bounded_honeycomb_memory_EM3_v2,H,7,294,100000000,100000000,89920.23196884758,internal_correlated,2
18,27,28,0.0005,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,100000000,94366.83784766246,internal,2
18,27,28,0.0005,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,100000000,94939.45469963747,internal_correlated,2
22,33,34,0.0005,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,100000000,89607.26944370713,internal,2
22,33,34,0.0005,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,100000000,87496.94697039935,internal_correlated,2
6,9,10,0.0007,bounded_honeycomb_memory_EM3_v2,H,3,54,1802300,1801294,27.704481559994747,internal,2
6,9,10,0.0007,bounded_honeycomb_memory_EM3_v2,H,3,54,3638300,3637174,3787.5321394831553,internal_correlated,2
10,15,16,0.0007,bounded_honeycomb_memory_EM3_v2,H,5,150,100000000,99999201,68933.74524259797,internal,2
10,15,16,0.0007,bounded_honeycomb_memory_EM3_v2,H,5,150,100000000,99999844,69278.3460137995,internal_correlated,2
14,21,22,0.0007,bounded_honeycomb_memory_EM3_v2,H,7,294,100000000,99999991,71233.79491869478,internal,2
14,21,22,0.0007,bounded_honeycomb_memory_EM3_v2,H,7,294,100000000,99999998,75671.66583446992,internal_correlated,2
18,27,28,0.0007,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,100000000,77016.47373177047,internal,2
18,27,28,0.0007,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,100000000,80707.34629554019,internal_correlated,2
22,33,34,0.0007,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,100000000,90964.76644955702,internal,2
22,33,34,0.0007,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,100000000,97085.3381861169,internal_correlated,2
6,9,10,0.001,bounded_honeycomb_memory_EM3_v2,H,3,54,902300,901264,32.43329900095705,internal,2
6,9,10,0.001,bounded_honeycomb_memory_EM3_v2,H,3,54,1502300,1501296,31.088152381940745,internal_correlated,2
10,15,16,0.001,bounded_honeycomb_memory_EM3_v2,H,5,150,41638300,41637292,10915.359307165229,internal,2
10,15,16,0.001,bounded_honeycomb_memory_EM3_v2,H,5,150,100000000,99999390,52638.85669224801,internal_correlated,2
14,21,22,0.001,bounded_honeycomb_memory_EM3_v2,H,7,294,100000000,99999946,53895.04686711139,internal,2
14,21,22,0.001,bounded_honeycomb_memory_EM3_v2,H,7,294,100000000,99999995,59817.81402009493,internal_correlated,2
18,27,28,0.001,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,100000000,62401.52125785027,internal,2
18,27,28,0.001,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,100000000,67460.28717380774,internal_correlated,2
22,33,34,0.001,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,100000000,72342.2173645117,internal,2
22,33,34,0.001,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,100000000,84017.27666688406,internal_correlated,2
6,9,10,0.0015,bounded_honeycomb_memory_EM3_v2,H,3,54,402300,401222,18.77271156400093,internal,2
6,9,10,0.0015,bounded_honeycomb_memory_EM3_v2,H,3,54,702300,701258,19.51051046999055,internal_correlated,2
10,15,16,0.0015,bounded_honeycomb_memory_EM3_v2,H,5,150,10302300,10301300,556.573500329323,internal,2
10,15,16,0.0015,bounded_honeycomb_memory_EM3_v2,H,5,150,39202300,39201300,2029.229415265916,internal_correlated,2
14,21,22,0.0015,bounded_honeycomb_memory_EM3_v2,H,7,294,100000000,99999659,7946.141823112179,internal,2
14,21,22,0.0015,bounded_honeycomb_memory_EM3_v2,H,7,294,100000000,99999967,10708.409514901097,internal_correlated,2
18,27,28,0.0015,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,99999989,15678.06306418989,internal,2
18,27,28,0.0015,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,100000000,28084.51353584758,internal_correlated,2
22,33,34,0.0015,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,100000000,32009.699246532648,internal,2
22,33,34,0.0015,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,100000000,38654.1947487381,internal_correlated,2
6,9,10,0.002,bounded_honeycomb_memory_EM3_v2,H,3,54,302300,300858,4.63167512799555,internal,2
6,9,10,0.002,bounded_honeycomb_memory_EM3_v2,H,3,54,402300,401214,7.9864381609804695,internal_correlated,2
10,15,16,0.002,bounded_honeycomb_memory_EM3_v2,H,5,150,3702300,3701266,490.5576066487265,internal,2
10,15,16,0.002,bounded_honeycomb_memory_EM3_v2,H,5,150,14502300,14501296,972.167640899308,internal_correlated,2
14,21,22,0.002,bounded_honeycomb_memory_EM3_v2,H,7,294,72202300,72201300,9425.300701877568,internal,2
14,21,22,0.002,bounded_honeycomb_memory_EM3_v2,H,7,294,100000000,99999843,17900.11019538199,internal_correlated,2
18,27,28,0.002,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,99999931,25085.69676981603,internal,2
18,27,28,0.002,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,99999997,34923.4222813401,internal_correlated,2
22,33,34,0.002,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,99999997,39537.105625031414,internal,2
22,33,34,0.002,bounded_honeycomb_memory_EM3_v2,H,11,726,100013800,100013800,49937.824093396004,internal_correlated,2
6,9,10,0.003,bounded_honeycomb_memory_EM3_v2,H,3,54,204600,202235,6.333148777994211,internal,2
6,9,10,0.003,bounded_honeycomb_memory_EM3_v2,H,3,54,404600,401994,16.688919636995706,internal_correlated,2
10,15,16,0.003,bounded_honeycomb_memory_EM3_v2,H,5,150,1804600,1802552,108.79260496796633,internal,2
